epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.31,1.40399,2.48555,1.39956,0.73417,0.6801,0.71645,0.47268,1.2487,1.25451,1.35039,0.0033315,0.0033315,0.0033315
2,704.89,1.26595,1.49238,1.26552,0.73599,0.7111,0.74115,0.48498,1.25993,1.16458,1.36154,0.0064009,0.0064009,0.0064009
3,1045.06,1.29366,1.3046,1.28045,0.73501,0.65127,0.71072,0.46413,1.29855,1.2591,1.40482,0.00920631,0.00920631,0.00920631
4,1382.15,1.28613,1.18373,1.27863,0.80029,0.69262,0.7645,0.50376,1.24479,1.04744,1.35952,0.008812,0.008812,0.008812
5,1719.1,1.22224,1.05107,1.24341,0.79344,0.77595,0.81855,0.56212,1.14253,0.90683,1.2808,0.008416,0.008416,0.008416
6,2055.9,1.17393,0.97693,1.21387,0.84905,0.78759,0.85382,0.5964,1.12382,0.83002,1.26226,0.00802,0.00802,0.00802
7,2393.39,1.14289,0.92238,1.19953,0.83904,0.79205,0.85296,0.59743,1.11239,0.79387,1.25385,0.007624,0.007624,0.007624
8,2733.2,1.10966,0.87906,1.17825,0.87892,0.81946,0.88361,0.62671,1.07088,0.74802,1.22317,0.007228,0.007228,0.007228
9,3072.73,1.08699,0.84795,1.16589,0.87978,0.83225,0.89238,0.64162,1.03366,0.70842,1.20081,0.006832,0.006832,0.006832
10,3413.99,1.07045,0.81648,1.15612,0.89178,0.84126,0.90104,0.64693,1.02996,0.67755,1.18756,0.006436,0.006436,0.006436
11,3753.19,1.04926,0.7909,1.1451,0.90394,0.84494,0.91001,0.65801,1.00756,0.65689,1.17178,0.00604,0.00604,0.00604
12,4092.28,1.03578,0.76962,1.13907,0.88802,0.85924,0.90741,0.6753,1.00277,0.64009,1.1704,0.005644,0.005644,0.005644
13,4430.82,1.02047,0.74888,1.12775,0.90171,0.8469,0.91254,0.67445,0.98395,0.63295,1.15976,0.005248,0.005248,0.005248
14,4769.38,1.00523,0.73329,1.11979,0.89874,0.86003,0.914,0.67428,0.97745,0.61493,1.15174,0.004852,0.004852,0.004852
15,5108.34,0.99015,0.71481,1.11221,0.91436,0.85738,0.9211,0.68553,0.969,0.60041,1.14898,0.004456,0.004456,0.004456
16,5446.97,0.93288,0.58444,1.11782,0.91657,0.86967,0.92438,0.70007,0.94839,0.57989,1.13995,0.00406,0.00406,0.00406
17,5785.05,0.90814,0.56078,1.10208,0.91826,0.86998,0.92168,0.69939,0.94223,0.56887,1.1398,0.003664,0.003664,0.003664
18,6123.63,0.88837,0.53725,1.09181,0.91304,0.87783,0.92495,0.70411,0.93476,0.55961,1.13214,0.003268,0.003268,0.003268
19,6461.57,0.87033,0.52037,1.08084,0.92275,0.8741,0.9259,0.70569,0.93473,0.55652,1.12954,0.002872,0.002872,0.002872
20,6799.42,0.85424,0.50411,1.06936,0.92839,0.87481,0.93027,0.71117,0.92631,0.54497,1.12306,0.002476,0.002476,0.002476
21,7136.82,0.83366,0.48507,1.0568,0.91388,0.88515,0.93078,0.71268,0.9246,0.54044,1.12278,0.00208,0.00208,0.00208
22,7474.87,0.81865,0.46979,1.04689,0.91985,0.88046,0.93023,0.71273,0.92323,0.53983,1.12318,0.001684,0.001684,0.001684
23,7812.55,0.80201,0.4555,1.04203,0.91452,0.88179,0.9285,0.71464,0.91987,0.53926,1.12296,0.001288,0.001288,0.001288
24,8149.95,0.78359,0.44058,1.03145,0.91193,0.88353,0.92983,0.71143,0.92127,0.53321,1.12431,0.000892,0.000892,0.000892
25,8487.73,0.76776,0.42792,1.02099,0.92456,0.87441,0.92884,0.713,0.91942,0.53205,1.12418,0.000496,0.000496,0.000496
