epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.029,2.75762,6.21187,2.53994,0.57336,0.57429,0.57557,0.39119,2.46497,2.72053,2.42918,0.0033315,0.0033315,0.0033315
2,625.755,2.71642,3.66875,2.43782,0.62426,0.60688,0.63367,0.41863,2.60618,2.52426,2.57481,0.0064009,0.0064009,0.0064009
3,934.755,2.83443,3.06942,2.50118,0.65448,0.57316,0.62126,0.39999,2.70386,2.64486,2.64368,0.00920631,0.00920631,0.00920631
4,1244.74,2.79848,2.76207,2.49047,0.70888,0.67225,0.70952,0.46725,2.5927,2.16492,2.56265,0.008812,0.008812,0.008812
5,1553.35,2.65177,2.39879,2.41135,0.76855,0.70714,0.77982,0.53702,2.37168,1.86397,2.42497,0.008416,0.008416,0.008416
6,1856.68,2.54264,2.21264,2.36312,0.80224,0.73572,0.80588,0.56023,2.3181,1.69054,2.36894,0.00802,0.00802,0.00802
7,2177.4,2.47345,2.0719,2.32259,0.82884,0.77542,0.83704,0.58493,2.24857,1.5825,2.31689,0.007624,0.007624,0.007624
8,2468.07,2.41041,1.95627,2.28668,0.81668,0.80352,0.85147,0.6095,2.17867,1.47539,2.28485,0.007228,0.007228,0.007228
9,2777.42,2.37339,1.87426,2.27032,0.83182,0.82393,0.86137,0.61452,2.16029,1.40214,2.27169,0.006832,0.006832,0.006832
10,3070.1,2.33237,1.81259,2.25362,0.84466,0.83567,0.88168,0.64131,2.10544,1.33759,2.23487,0.006436,0.006436,0.006436
11,3361.68,2.2737,1.73124,2.22213,0.84847,0.83275,0.8796,0.64339,2.11359,1.29402,2.22101,0.00604,0.00604,0.00604
12,3654.23,2.2539,1.68567,2.21136,0.8749,0.82868,0.89773,0.65627,2.05808,1.24821,2.20359,0.005644,0.005644,0.005644
13,3947.07,2.21175,1.63594,2.19428,0.86205,0.84878,0.89938,0.66197,2.01768,1.22497,2.17829,0.005248,0.005248,0.005248
14,4239.43,2.17939,1.58701,2.1757,0.87901,0.84911,0.9041,0.6668,2.01681,1.19155,2.17603,0.004852,0.004852,0.004852
15,4531.13,2.15806,1.55454,2.16712,0.87042,0.85663,0.90275,0.67409,1.98937,1.17015,2.16083,0.004456,0.004456,0.004456
16,4819.87,1.98569,1.17097,2.13225,0.88846,0.8428,0.90593,0.6817,1.9679,1.12556,2.15417,0.00406,0.00406,0.00406
17,5109.33,1.92539,1.10184,2.10417,0.89097,0.84836,0.91152,0.68646,1.95918,1.09548,2.1486,0.003664,0.003664,0.003664
18,5404.51,1.88457,1.0643,2.08269,0.88366,0.86777,0.91292,0.68911,1.94051,1.08984,2.14019,0.003268,0.003268,0.003268
19,5693.26,1.8497,1.01573,2.05934,0.90195,0.85328,0.91057,0.6932,1.93596,1.07907,2.13402,0.002872,0.002872,0.002872
20,5980.83,1.81059,0.98407,2.04256,0.90207,0.86255,0.91281,0.69611,1.91482,1.05595,2.1278,0.002476,0.002476,0.002476
21,6269.43,1.77936,0.95213,2.02728,0.89213,0.86803,0.91562,0.70203,1.89831,1.0544,2.12227,0.00208,0.00208,0.00208
22,6558.52,1.73511,0.91504,1.99937,0.9037,0.86361,0.9148,0.70337,1.88719,1.04102,2.11499,0.001684,0.001684,0.001684
23,6846.76,1.69736,0.87848,1.99017,0.8894,0.87577,0.91336,0.70373,1.88894,1.04544,2.11847,0.001288,0.001288,0.001288
24,7134.38,1.66056,0.8527,1.96912,0.90383,0.86147,0.91358,0.70635,1.88675,1.03363,2.11721,0.000892,0.000892,0.000892
25,7422.33,1.62579,0.82168,1.95388,0.90498,0.86649,0.91609,0.70661,1.88672,1.02831,2.11948,0.000496,0.000496,0.000496
